underlying_symbol,quote_date,root,expiration,strike,option_type,open,high,low,close,trade_volume,bid_size_1545,bid_1545,ask_size_1545,ask_1545,underlying_bid_1545,underlying_ask_1545,implied_underlying_price_1545,active_underlying_price_1545,implied_volatility_1545,delta_1545,gamma_1545,theta_1545,vega_1545,rho_1545,bid_size_eod,bid_eod,ask_size_eod,ask_eod,underlying_bid_eod,underlying_ask_eod,vwap,open_interest,delivery_code
^SPX,2017-10-23,SPXW,2018-03-29,1975.000,C,0.0000,0.0000,0.0000,0.0000,0,44,591.7000,45,593.3000,2565.8000,2566.3000,2551.5482,2566.0500,0.2278,0.9660,0.0002,-0.1556,1.2641,805.4546,1,589.4000,1,595.1000,2536.0900,2586.0200,0.0000,7,
^SPX,2017-10-23,SPXW,2018-03-29,1975.000,P,5.9300,5.9300,5.9300,5.9300,2,728,6.4000,110,6.6000,2565.8000,2566.3000,2551.5482,2566.0500,0.2361,-0.0387,0.0002,-0.1019,1.4033,-45.2565,155,6.6000,160,6.9000,2536.0900,2586.0200,5.9300,290,
^SPX,2017-10-23,SPXW,2018-03-29,2000.000,C,0.0000,0.0000,0.0000,0.0000,0,44,567.5000,45,569.1000,2565.8000,2566.3000,2551.5482,2566.0500,0.2236,0.9617,0.0002,-0.1634,1.3924,811.1855,1,565.6000,1,570.7000,2536.0900,2586.0200,0.0000,25,
^SPX,2017-10-23,SPXW,2018-03-29,2000.000,P,7.2200,7.2200,7.2200,7.2200,100,820,7.0000,190,7.3000,2565.8000,2566.3000,2551.5482,2566.0500,0.2310,-0.0428,0.0002,-0.1082,1.5246,-50.1032,65,7.3000,170,7.6000,2536.0900,2586.0200,7.2200,745,
^SPX,2017-10-23,SPXW,2018-03-29,2025.000,C,0.0000,0.0000,0.0000,0.0000,0,44,543.4000,45,545.0000,2565.8000,2566.3000,2551.5482,2566.0500,0.2195,0.9568,0.0002,-0.1720,1.5354,816.1678,1,541.5000,1,546.6000,2536.0900,2586.0200,0.0000,22,
^SPX,2017-10-23,SPXW,2018-03-29,2025.000,P,7.3000,7.9900,7.3000,7.9900,139,823,7.7000,130,8.0000,2565.8000,2566.3000,2551.5482,2566.0500,0.2258,-0.0474,0.0003,-0.1145,1.6537,-55.3986,161,8.0000,100,8.3000,2536.0900,2586.0200,7.4022,423,
^SPX,2017-10-23,SPXW,2018-03-29,2050.000,C,0.0000,0.0000,0.0000,0.0000,0,44,519.4000,45,521.0000,2565.8000,2566.3000,2551.5482,2566.0500,0.2153,0.9513,0.0003,-0.1808,1.6888,820.5280,14,514.1000,14,525.2000,2536.0900,2586.0200,0.0000,20,
^SPX,2017-10-23,SPXW,2018-03-29,2050.000,P,8.2000,8.9000,8.2000,8.9000,223,788,8.5000,170,8.8000,2565.8000,2566.3000,2551.5482,2566.0500,0.2208,-0.0525,0.0003,-0.1213,1.7951,-61.3780,160,8.8000,210,9.2000,2536.0900,2586.0200,8.3734,7319,
^SPX,2017-10-23,SPXW,2018-03-29,2075.000,C,0.0000,0.0000,0.0000,0.0000,0,45,495.5000,44,497.0000,2565.8000,2566.3000,2551.5482,2566.0500,0.2110,0.9454,0.0003,-0.1897,1.8509,824.3065,1,493.6000,1,498.7000,2536.0900,2586.0200,0.0000,4,
^SPX,2017-10-23,SPXW,2018-03-29,2075.000,P,8.9000,9.8000,8.8300,9.8000,248,750,9.4000,180,9.7000,2565.8000,2566.3000,2551.5482,2566.0500,0.2159,-0.0584,0.0003,-0.1287,1.9506,-68.1668,170,9.7000,150,10.1000,2536.0900,2586.0200,9.0315,1847,
^SPX,2017-10-23,SPXW,2018-03-29,2100.000,C,0.0000,0.0000,0.0000,0.0000,0,45,471.6000,44,473.1000,2565.8000,2566.3000,2551.5482,2566.0500,0.2063,0.9390,0.0003,-0.1982,2.0190,827.5817,1,470.0000,1,474.4000,2536.0900,2586.0200,0.0000,203,
^SPX,2017-10-23,SPXW,2018-03-29,2100.000,P,9.9500,10.0500,9.9500,10.0500,58,820,10.3000,200,10.7000,2565.8000,2566.3000,2551.5482,2566.0500,0.2107,-0.0646,0.0004,-0.1358,2.1126,-75.4609,140,10.7000,150,11.1000,2536.0900,2586.0200,10.0000,2075,
^SPX,2017-10-23,SPXW,2018-03-29,2125.000,C,0.0000,0.0000,0.0000,0.0000,0,45,447.8000,44,449.3000,2565.8000,2566.3000,2551.5482,2566.0500,0.2015,0.9319,0.0004,-0.2069,2.1991,830.0371,1,446.0000,1,450.9000,2536.0900,2586.0200,0.0000,53,
